date,AAPL,ACN,AMD,AMZN,BAC,BLK,COST,CVS,DIS,DPZ,F,GILD,INTU,JD,JPM,KO,LUV,MA,MCD,MSFT,NAT,NVDA,PBI,PFE,SBUX,SPY,TGT,TM,TSLA,UL,UNH,WMT,XOM
2021-01-01,85.23105624369066,250.54924518850993,68.6376609199427,296.72173415012935,243.06119232416435,99.6789203835431,51.3805292809006,253.86535711370854,226.71433596190428,232.25179201024682,242.81758667148642,68.5111629335226,139.61643213606817,78.96726488128243,265.7758564688984,205.82453170688947,132.7245062131623,65.88958757150591,127.74558042891555,131.29583050668674,232.40154458451602,209.38936783880328,271.8031856440816,168.05373129048732,79.89856148457542,228.31119680574875,240.19626215422437,190.31929939237406,242.74179498864024,173.4488990910977,180.68320734549852,156.8852545896374,56.3547816860238
2021-01-04,82.69151479664338,256.34673245990905,69.88684535054726,296.89986815790473,241.72703634459526,97.03155179025488,50.78158523551322,256.07150231749324,226.0319485147378,231.37370709828645,245.37350629867115,69.56204742993219,140.3086961965305,79.31550470003411,271.71330992149024,206.4441215250732,132.27493028342235,66.86899968766843,127.14074891372532,130.2832650791959,238.67160959578527,208.37663202186596,257.0429178701077,168.7168402932777,79.54734266194737,227.75547104800575,241.71964304640912,189.92332683647422,243.4994786772355,166.61366782669083,178.38386472797677,159.80140079412794,56.34291891204512
2021-01-05,79.79137113330184,250.5579739832208,68.55834818224312,297.40728355337797,240.66172473888247,95.89195374568031,50.79012142401924,257.543183305253,225.1859880240085,230.16242590465185,243.21796282419135,69.89824821360172,140.34224217901232,80.14924306425826,266.7979978467218,203.87373259547502,133.5182860743224,65.72872616926726,130.59143391400366,134.250739329537,245.71395536956825,205.3060422172815,257.48340166377915,167.88801449321713,80.4521996943172,231.78974777478726,244.64293091852284,190.0051548790208,242.44183529155208,168.78188852417867,175.42797819228323,160.94774682827173,55.514881167771996
2021-01-06,80.86778387358184,249.77331187470423,68.0578550599132,294.03080145969307,239.79531268461153,96.86982380964334,51.59697774987763,259.1619328169177,230.12827911125726,236.11258799628038,241.5707601293306,69.75064521428622,136.84204297257267,81.45177881922008,272.4421943106742,201.0335900520515,134.52671926557605,67.49648629055561,131.1847896756145,136.70621412505818,246.66166293882262,201.1290552450261,263.26228962735144,170.3037495569194,81.18459912592331,229.68928677108676,242.210868230135,187.00468476018466,244.9417533004886,173.09747347608337,176.52981908301467,162.95558603591817,54.74094310911281
2021-01-07,81.13021996286423,242.5689893391243,67.05419548276036,297.58713345907114,239.2311415037638,99.01963937634078,52.02053746307716,267.1945397464796,230.53939418060824,232.95393032544357,241.39356125406013,68.93677781688365,139.29412250852792,81.51327771784598,271.8831748054074,200.65395339788716,135.73879253970128,66.84958119101454,133.18285853462643,139.79503860025568,244.97445604129936,198.0125219269712,260.457167750796,171.635527600193,81.29919550960595,231.2501306366936,248.1116036003458,187.68152263516058,242.49035098946555,176.78004755936774,176.71676634252884,164.8426268476991,55.704899953700156
2021-01-08,79.49124863322031,250.0098145004888,68.2766920438455,295.31150988773777,240.05904540884038,99.49057475026713,52.04488304405246,269.89640482622684,235.87088223030656,233.07108144957553,248.20112364928482,69.84313848708702,139.92296913565758,81.72139044444397,266.9529453100752,195.82109633704871,136.03685293842128,65.63266662840637,133.10611547510285,138.22518302322865,236.11468586851615,199.23949040309947,258.2167587423672,171.8304815320724,80.46320896720616,230.58169722318092,253.4595873690839,188.08429855676354,244.29694174957365,172.3707020200322,182.76528664291132,168.86781529871084,56.96090904344262
2021-01-11,80.92346026486067,250.17722673882494,68.89228887615488,299.5566017679423,238.50142821994973,98.70425359199696,50.76401313118857,267.74640281114665,242.17498354703275,232.40252474076053,246.55441561012427,70.16102941406167,136.01580275980973,82.77736937336736,272.456556317832,197.05898618920338,138.7432799088347,63.78385208216925,137.93170059146843,136.1037175245265,229.98647844412793,198.4596426414403,268.6268205840389,171.84467672191363,79.59836444394554,227.71414850048816,253.1459332085149,182.83244634440348,240.3279770331837,177.74650331419343,186.2325816342343,168.617037377394,56.5357288776564
2021-01-12,81.03442542232858,263.29193749017344,69.46282155527443,303.3049327941401,238.03468953050097,98.82251670789904,51.26460912523682,268.24678977276267,235.14652975058215,235.46357370268552,243.40120322969096,72.10541917887242,137.73956643831585,82.87200153585732,274.4177409876654,196.73709965172586,137.9851218866426,64.08238912467462,140.32326937987688,134.77636229701616,227.09137428903668,197.28678942835595,274.0932705002741,174.55219012971398,79.96719540182379,229.14959643472457,251.04215972875454,185.20209225429082,242.12518948104002,175.256887828763,181.70994680982514,165.99511855044804,55.92801853547391
2021-01-13,83.08482620331213,272.3724635808176,68.88636970234661,301.77039870479246,238.7492316552854,98.85380317609685,51.990893583538565,266.8378339313505,238.74897124504207,235.0087344315068,247.78264494056177,71.89357967440304,136.29537417488487,85.03561915088342,279.1750950795273,191.08710963411946,137.29522365765533,65.78855482195077,137.1589358878661,137.01750421815956,230.30448482445658,194.97964344475915,274.06772227779277,170.78967047755168,81.69765781201102,228.54613121222977,253.83811911782317,186.89619367229358,246.47942825789232,173.75623375592593,182.28949657629755,167.23535495558735,56.733659665207696
2021-01-14,85.17328270964873,269.6686505139792,68.01396526931369,307.3803195329375,233.65876229652505,101.70830860452392,51.76138559432895,266.9530393345141,236.28108745033367,234.9979895717062,254.45238765891145,72.63789325250563,137.5465902381492,85.1532199357487,272.83030110540693,188.49593887273718,136.7755228317368,66.45554914289097,137.36806785638285,139.9283756277745,232.6287174122684,195.18107416761782,287.5519525936703,171.57357463563517,81.30322653487511,232.95207430236863,258.04801062339266,191.88696753459126,246.21417662923952,177.16675411609063,178.6949453730366,168.97773669037232,56.59329529444171
